Status,Address,Size,Monthly Rent,Security Deposit,Annual Parking Fee,Utilities,Laundry,Description
Available,"6681 Berkshire Terrace #02, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Downstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6671 Berkshire Terrace #16, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit. Max occupancy 2. Photos of similar unit.
Available,"6671 Berkshire Terrace #15, Goleta, CA 93117",1 Bedroom / 1 Bath,2525,2525,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6681 Berkshire Terrace #10, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Downstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6671 Berkshire Terrace #12, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit. Max occupancy 2. Photos of similar unit.
Available,"6671 Berkshire Terrace #10, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6581 Trigo Road #01, Goleta, CA 93117",1 Bedroom / 1 Bath,2600,2600,$500,W/T,W/D in unit,Pet friendly 1 bedroom. Tile floors and W/D in unit.
Available,"6671 Berkshire Terrace #05, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Downstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6661 Berkshire Terrace #41, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6661 Berkshire Terrace #37, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6661 Berkshire Terrace #36, Goleta, CA 93117",1 Bedroom / 1 Bath,2650,2650,$600,W/T,YES,Upstairs corner unit. Max occupancy 2. Photos of similar unit.
Available,"6661 Berkshire Terrace #34, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6661 Berkshire Terrace #33, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6661 Berkshire Terrace #31, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6661 Berkshire Terrace #29, Goleta, CA 93117",1 Bedroom / 1 Bath,2500,2500,$600,W/T,YES,Upstairs unit at Berkshire Terrace Apartments. Max occupancy 2.
Available,"6529 Trigo Road #7, Goleta, CA 93117",1 Bedroom / 1 Bath,2575,2575,$600,Water and Trash,NO,Updated kitchen. Across from Peoples Park. Optional paid parking.
Available,"6681 Berkshire Terrace #21, Goleta, CA 93117",1 Bedroom / 1 Bath,2825,2825,$600,W/T,YES,Extra large upstairs unit. 3 people allowed.
Available,"6594 Segovia #06, Santa Barbara, CA 93117",1 Bedroom / 1 Bath,2585,2585,$400,W/T,YES,Upstairs unit near campus. Spacious and bright.
Available,"6582 Sabado Tarde #06, Goleta, CA 93117",1 Bedroom / 1 Bath,3200,3200,$650,W/T,NO,Charming downstairs apartment. 2 blocks from beach. Max occupancy 2.
Available,"6582 Sabado Tarde #05, Goleta, CA 93117",1 Bedroom / 1 Bath,3100,3100,$650,W/T,NO,Charming downstairs apartment. 2 blocks from beach. Max occupancy 2.
Available,"6582 Sabado Tarde #03, Goleta, CA 93117",1 Bedroom / 1 Bath,3200,3200,$650,W/T,NO,Spacious downstairs. New wood flooring. Near campus.
Available,"6582 Sabado Tarde #02, Goleta, CA 93117",1 Bedroom / 1 Bath,3100,3100,$650,W/T,NO,Downstairs unit. 2 blocks from beach. Max occupancy 2.
Available,"6582 Sabado Tarde #01, Goleta, CA 93117",1 Bedroom / 1 Bath,3200,3200,$650,W/T,NO,Downstairs unit near beach and UCSB. Max occupancy 2.
Available,"6567 Sabado Tarde #09, Goleta, CA 93117",1 Bedroom / 1 Bath,2750,2750,$500,W/T/G/E,NO,Sea Breeze Apartments. Utilities included. Juliet balcony.
Available,"6643 Abrego Road #A4, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,N/A,W/T/Cable/Internet,YES,Townhouse style with big windows. Select units have new kitchens.
Available,"6643 Abrego Road #A5, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,N/A,W/T/Cable/Internet,YES,Townhouse style with big windows.
Available,"6643 Abrego Road #A6, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,N/A,W/T/Cable/Internet,YES,Townhouse style with big windows.
Available,"6643 Abrego Road #B1, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$700,W/T/Cable/Internet,YES,Townhouse style with big windows.
Available,"6643 Abrego Road #B3, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$700,W/T/Cable/Internet,YES,Townhouse style with big windows.
Available,"6643 Abrego Road #B4, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$700,W/T/Cable/Internet,YES,Townhouse style with big windows.
Available,"6643 Abrego Road #B5, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$700,W/T/Cable/Internet,YES,Townhouse style with big windows.
Available,"6643 Abrego Road #B6, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$700,W/T/Cable/Internet,YES,Townhouse style with big windows.
Available,"6643 Abrego Road #C4, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$700,W/T/Cable/Internet,YES,Townhouse style with big windows.
Available,"6643 Abrego Road #D1, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$700,W/T/Cable/Internet,YES,Townhouse style with big windows.
Available,"6643 Abrego Road #D2, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$700,W/T/Cable/Internet,YES,Townhouse style with big windows.
Available,"6643 Abrego Road #D5, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$700,W/T/Cable/Internet,YES,Townhouse style with big windows.
Available,"6643 Abrego Road #D6, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$700,W/T/Cable/Internet,YES,Townhouse style with big windows.
Available,"6580 Pardall Road F, Goleta, CA 93117",2 Bedroom / 1.5 Bath,4200,4200,$500,Trash,NO,Above shops. Private balcony. Max occupancy 3.
Available,"6643 Abrego Road #E6, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$700,W/T/Cable/Internet,YES,Townhouse style units.
Available,"6643 Abrego Road #C2, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$700,W/T/Cable/Internet,YES,Townhouse style units. 1 parking space included in fee.
Available,"6643 Abrego Road #F6, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$900,W/T/Cable/Internet,YES,Townhouse style with large deck.
Available,"6643 Abrego Road #F5, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$900,W/T/Cable/Internet,YES,Townhouse style with large deck.
Available,"6643 Abrego Road #F3, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$900,W/T/Cable/Internet,YES,Townhouse style with large deck.
Available,"6643 Abrego Road #F2, Goleta, CA 93117",2 Bedroom / 1.5 Bath,5000,5000,$900,W/T/Cable/Internet,YES,Townhouse style with large deck.
Available,"6675 Sabado Tarde #B, Goleta, CA 93117",2 Bedroom / 1 Bath,5300,5300,N/A,W/T,NO,Large upstairs unit with bonus room. Hardwood flooring. Mountain views.
Available,"6681 Berkshire Terrace #11, Goleta, CA 93117",2 Bedroom / 1 Bath,4800,4800,$600,W/T,YES,Downstairs unit. Max occupancy 4.
Available,"820 Camino Corto 03, Goleta, CA 93117",2 Bedroom / 2 Bath,4100,4100,N/A,Water + Trash,YES,Walk-in closets. Outdoor patio. Gas cooking.
Available,"948 Camino Del Sur 103, Goleta, CA 93117",3 Bedroom / 1 Bath,5840,5840,$600,Gas + Water,Shared,Remodeled laundry room. Stainless steel appliances. AstroTurf lawn.
Available,"6613 Del Playa #01, Goleta, CA 93117",3 Bedroom / 2 Bath,7600,7600,$1200,W/T,YES,Huge ocean-side downstairs unit. Newly painted.
